Gene	H911	DIVID1	DIVID2	DIVID3	DIVID4	DIVID5	H1204	H1778	H1499	H1530
WASH7P	0	0	0	0	0	0	0	0	0	0
LOC643837	1.19538	1.95686	1.58759	1.7597	1.0539	2.18345	3.73874	1.44845	2.39658	0.244602
SAMD11	2.12849	1.16651	1.50109	0	1.06468	1.56765	0.705979	7.46185	3.00702	1.92479
NOC2L	7.53695	5.83809	4.20479	3.54511	1.28722	5.59054	8.33386	9.95368	7.91137	13.7999
HES4	4.83184	2.5352	3.26589	3.9353	1.04305	4.39982	2.53902	3.50448	4.95186	1.81914
ISG15	11.2395	4.42807	3.85928	9.38666	6.97038	6.85199	6.5799	6.19109	3.19465	10.5533
AGRN	15.055	10.3503	26.9007	12.6148	2.23188	5.61558	8.04417	9.53143	7.54154	14.6951
SDF4	44.031	33.8321	66.3162	48.4863	18.3335	53.8752	48.0843	72.1061	36.271	41.6258
B3GALT6	5.12817	2.47184	4.5367	3.00904	1.01005	4.41735	3.18492	5.67886	2.45657	0.415895
UBE2J2	6.51069	4.33592	3.71313	16.8161	6.6043	5.26337	11.2781	5.5908	8.51822	5.07023
ACAP3	4.76739	3.42976	6.54395	11.9387	1.08603	3.10022	4.7177	6.8882	6.96892	4.9712
PUSL1	5.71716	1.5896	1.87883	1.56397	1.03213	3.98664	4.59522	2.65193	3.11096	0.42896
CPSF3L	8.813	5.57516	19.8276	19.9376	10.1706	4.88176	9.68176	7.2189	7.21799	9.59701
GLTPD1	5.45891	4.40832	5.14967	7.37727	9.61844	4.11457	3.38392	3.14452	6.71566	1.12818
DVL1	6.38137	9.50229	27.1799	12.9495	4.16192	8.01673	11.0132	24.3243	13.9865	16.5486
MXRA8	5.66687	2.96692	4.0904	1.5791	5.21172	4.18677	1.62648	1.52299	2.15017	0.166213
AURKAIP1	22.3633	6.41379	33.6888	21.4564	8.64339	25.4758	14.9443	32.3607	15.5538	24.161
CCNL2	3.22561	4.39929	4.38915	2.8429	6.70435	5.13668	6.088	1.4502	2.85708	0.330974
LOC148413	2.53978	4.9828	3.0828	1.68112	2.11977	3.0573	2.08504	2.56263	3.01178	0.277989
MRPL20	36.7234	22.3496	47.911	30.2234	39.1967	49.3418	43.5672	34.0336	21.8396	33.0715
LOC441869	2.01231	4.28142	3.17467	1.89751	10.3023	2.0371	7.86509	4.5745	6.62559	0.441299
VWA1	12.1728	6.04781	9.13377	7.38867	11.3542	8.29254	14.5853	29.8238	10.2399	18.1031
SSU72	46.4998	28.2293	79.8512	29.326	16.9926	36.8318	50.7287	77.5938	37.1627	57.1106
NADK	5.37696	2.98702	3.49126	7.24032	4.76549	4.62468	4.877	2.75229	4.28073	0.432589
GNB1	123.698	64.7524	77.2099	33.5984	40.5902	41.6324	70.4186	115.741	87.3047	105.144
TMEM52	1.36926	14.8272	56.4787	50.8519	22.9994	26.3934	18.5379	1.015	3.749	0.211213
C1orf86	6.21174	2.702	2.8029	1.83143	8.90264	3.37039	3.39291	5.22003	6.25931	0.487751
SKI	6.00085	3.30358	5.28569	8.01108	1.34406	2.85869	6.58686	4.99922	4.58865	4.76338
LOC100129534	0.980861	1.45475	1.08918	7.41145	1.01005	1.33035	0.0605766	0.671009	0.648715	0.020323
RER1	27.755	28.4431	42.0252	29.4544	17.1869	40.6237	15.4228	25.2644	8.69054	23.0378
PEX10	7.58898	4.67403	9.64714	15.8163	13.7323	15.8863	12.0764	4.92965	6.45552	9.07378
PLCH2	1.10611	1.17192	1.36957	1.54875	1.27761	1.35959	0.666969	0.911526	1.47635	0.0820177
PANK4	2.41955	1.58505	4.62193	0	1.10712	2.09682	2.51007	2.93079	2.88645	1.70126
TNFRSF14	3.84175	3.17606	6.21915	1.68112	1.50733	3.94971	2.99207	4.07202	2.38003	0.573383
C1orf93	4.92254	2.84554	7.34956	0	2.26978	3.81896	5.30179	4.52723	2.93984	9.58534
ARHGEF16	2.73639	2.03592	2.3196	14.4386	1.04305	1.58093	5.41921	2.06593	2.64623	0.356378
TPRG1L	19.2641	16.3351	34.6609	17.367	14.784	23.3979	32.7923	26.0548	19.2946	32.7652
WDR8	2.13748	3.13652	2.49954	6.34887	7.63093	8.3676	1.20883	3.0553	3.28634	0.964003
LOC388588	3.02219	2.49301	1.49433	2.01617	9.79098	4.44335	6.50315	1.57059	2.69226	0.20831
LRRC47	7.14552	15.2907	23.6963	31.4713	17.1437	14.0644	14.3038	10.5442	19.096	9.46269
KIAA0562	5.94153	5.54355	5.26869	7.20604	3.12806	3.01396	7.02187	5.39381	4.41735	9.55616
C1orf174	6.68839	8.23852	2.21993	20.6727	5.07656	8.46757	6.03841	2.49385	7.87228	7.61081
NPHP4	2.21868	1.54842	3.88834	2.01617	5.90384	3.41074	2.73004	3.92307	2.87668	0.315732
RPL22	13.2039	34.6013	62.3948	57.052	47.8955	47.1185	32.4309	19.5708	13.9478	11.549
ICMT	10.9733	11.1669	24.5908	16.5516	8.57845	19.9722	10.1861	28.2556	19.5823	20.4669
NOL9	4.31327	3.55467	5.55754	2.95501	1.06468	2.64942	5.4119	1.59414	3.91843	5.16423
ZBTB48	2.87857	5.38529	7.73412	0	1.6609	3.76219	6.01712	1.93787	2.89619	0.261295
KLHL21	6.45111	26.3655	51.7897	10.9617	14.7731	25.6238	15.2447	8.81856	12.4875	7.18178
PHF13	3.97379	8.46966	7.67012	13.0961	2.82849	3.24748	2.63497	1.5807	3.29089	0.246053
DNAJC11	8.36649	6.51738	8.45179	8.19028	8.51346	5.26337	6.88457	7.35655	10.4498	15.2023
VAMP3	25.763	22.7319	25.6255	3.91437	15.7223	19.3089	27.5439	23.2703	34.4962	27.6806
PER3	2.86905	21.4752	19.9588	30.4224	12.374	8.99041	4.4562	2.75229	6.5322	0.446379
PARK7	95.6593	88.3862	109.756	63.7587	54.5268	132.876	67.5875	135.232	78.1606	117.607
ERRFI1	26.3686	1127.15	540.636	209.329	49.737	241.013	262.733	19.3587	38.4752	30.4259
RERE	5.40262	3.80099	5.98181	2.01617	12.1084	8.01673	4.73294	1.44493	6.61558	0.397024
ENO1	547.379	67.0424	119.475	42.8123	40.1912	55.3666	139.657	1189.15	289.8	1336
H6PD	6.3514	4.62064	8.67421	7.90988	3.17197	3.74316	9.48068	2.99283	3.99365	0.34041
SPSB1	14.0891	3.95974	8.46769	5.51381	10.0004	10.3494	7.57105	11.1827	16.4639	14.2921
CLSTN1	18.7455	16.1918	21.2438	33.6123	9.67607	6.33917	28.3034	17.1838	21.8873	14.4295
CTNNBIP1	6.44613	9.87252	23.4612	7.94365	8.28561	14.1132	9.20153	4.44346	8.33213	0.388314
LZIC	12.1219	21.7928	27.7686	8.2684	5.21172	19.3366	10.5901	8.31388	9.8649	10.4783
NMNAT1	1.38655	1.55302	2.136	7.52523	1.48966	1.6327	3.8523	1.14181	2.93017	0.256215
UBE4B	8.64521	10.6077	18.9709	21.8512	12.6553	7.76512	13.3193	8.5615	4.33317	11.884
KIF1B	6.90842	6.22565	6.46303	7.47976	5.95094	4.15075	5.3826	3.77048	3.85528	5.25317
PGD	57.5438	12.568	26.8513	5.39572	21.2949	18.1561	15.6574	72.0537	25.0675	84.6196
APITD1	4.38607	3.51636	2.136	10.345	1.58556	6.69858	3.77378	4.12983	3.30452	0.54872
APITD1-CORT	2.83102	1.88833	1.12154	7.76324	1.56835	4.31167	2.46162	2.59724	3.00702	0.496461
DFFA	5.25831	4.87649	5.71035	14.06	1.0539	3.58894	5.52862	4.12404	3.82141	4.83081
C1orf127	2.75525	1.35768	3.91736	4.57036	8.70827	3.10022	2.54865	1.82115	6.57222	6.50304
TARDBP	6.3464	9.39558	4.84338	8.34634	12.3211	4.88176	4.57214	1.55198	6.53887	0.370169
SRM	22.0611	4.80198	20.3958	4.90947	2.26978	9.11443	4.84678	5.14979	4.58865	13.4509
EXOSC10	16.4373	16.4073	22.4747	18.5439	12.2149	4.93291	15.7637	13.2024	18.9321	15.46
MTOR	5.53025	4.40832	3.72781	9.17033	2.26978	2.72054	4.67189	2.84874	3.8426	5.00765
UBIAD1	4.2511	4.38121	3.0057	3.99758	1.69466	3.93118	4.47946	2.57745	6.43553	0.527671
FBXO2	5.17517	13.3617	24.4207	15.969	10.1894	32.0498	15.0875	13.462	8.57575	11.8103
FBXO44	1.51559	2.94679	4.41735	1.50249	3.62705	2.94812	6.50315	2.73715	2.68207	0.293957
FBXO6	3.05108	3.36198	2.10219	2.81391	11.2268	6.13749	4.88455	1.52984	3.0403	0.466703
MAD2L2	9.31993	2.87602	10.0982	0	13.7001	7.76512	9.87263	12.4789	8.45739	10.2012
AGTRAP	36.3835	5.45919	24.3143	15.3431	23.4847	27.0149	5.80305	13.2935	26.9097	15.9521
MTHFR	2.26404	3.72567	2.83433	3.85115	1.06468	3.30929	4.42513	2.7725	6.52886	0.545816
KIAA2013	4.22008	4.62064	4.5367	6.51934	13.108	6.51915	2.64451	4.43301	8.14828	1.60347
PLOD1	22.5309	11.8576	24.8454	28.4681	9.88636	17.6763	15.2803	39.6359	7.71218	29.5435
MFN2	17.5156	13.3697	19.8057	8.01108	17.778	15.8627	12.1026	21.1675	19.957	18.9488
MIIP	4.58282	3.42009	3.80099	1.54875	1.32527	5.00948	12.0764	3.68107	3.93101	1.91261
TNFRSF1B	1.56458	2.49301	1.66646	1.53343	9.06427	2.06717	2.41293	1.54688	2.5631	0.153148
VPS13D	6.05996	9.49341	6.96365	10.6405	9.03196	7.99161	5.7384	3.66994	6.16387	4.42764
DHRS3	33.3247	30.2688	62.9339	10.9756	18.1949	44.4557	43.1976	15.7718	21.9804	23.7059
PRDM2	6.09925	6.14201	9.75232	8.94165	1.12797	3.80009	5.91749	2.18231	7.1749	5.21652
TMEM51	14.5866	8.91626	8.08551	33.8928	1.26796	12.0393	8.08382	4.37585	5.83895	7.93577
EFHD2	11.005	11.7999	28.6778	14.9699	9.56068	21.4304	16.2794	11.3418	10.0557	12.7075
CTRC	686.955	24583.4	35159.8	16635.7	12355.4	17602.3	1952.63	171.668	3564.89	1250.31
CELA2A	156.417	15797.6	22873	10917.5	4317.52	5109	867.605	58.3521	2690.78	956.736
CELA2B	31.9747	3298.29	6135.2	2431.91	1671.42	2362.72	277.225	17.5325	381.005	63.8129
DNAJC16	5.687	4.55652	3.81558	6.26983	9.90539	5.41477	5.81022	2.72709	3.56295	1.59414
DDI2	7.23679	6.75604	8.88042	1.56397	2.38506	4.93291	7.11757	6.25042	6.51552	4.55132
RSC1A1	7.65505	10.88	5.71035	0	12.4973	6.31342	8.55603	6.32261	7.20473	5.62629
PLEKHM2	10.5744	6.05828	20.0026	12.9762	1.09661	6.1128	13.9923	26.6074	25.0675	17.6324
FBLIM1	13.7954	3.63094	9.33928	7.74063	1.0539	4.25836	6.05259	10.6225	6.58222	11.1499
UQCRHL	6.47099	4.53513	25.4419	0	1.08603	7.46207	3.12096	12.626	4.16688	11.0183
SPEN	5.44358	4.90841	6.41445	10.6545	1.90258	2.37413	5.28707	2.42082	7.01882	0.539284
ZBTB17	3.412	2.11408	8.18117	3.70058	1.09661	3.10022	4.20544	3.19741	3.13432	0.547269
EPHA2	6.6244	10.3589	43.66	1.56397	1.28722	14.7909	3.66845	1.31896	9.06717	0.553801
FBXO42	5.3255	10.108	12.0086	7.38867	10.2271	6.72418	5.3826	6.02297	10.1756	5.94894
C1orf144	38.669	24.1705	54.4982	15.2018	36.9449	22.17	42.9375	55.4156	40.1095	48.0501
NECAP2	12.5862	9.56434	17.1711	6.29238	10.3398	15.2459	13.0743	13.3516	8.04463	15.7951
CROCCP2	1.18914	2.94679	1.26792	1.53343	11.6794	1.70706	0.906214	0.650019	1.47635	0.1321
ATP13A2	11.69	16.626	33.1301	22.6679	11.3178	23.8605	14.5421	18.1251	9.31803	15.8069
SDHB	40.2388	34.5422	55.9731	23.8979	40.3281	52.1868	45.953	35.068	48.9042	41.3393
RCC2	10.4225	4.82328	6.03269	7.2289	10.768	4.88176	5.02726	5.86145	6.74568	13.955
ARHGEF10L	5.46402	10.8037	13.9893	7.80842	15.4933	7.05596	6.65641	7.20192	9.17712	4.99723
IGSF21	1.17029	1.46426	2.51574	1.53343	1.01005	1.47278	2.77727	1.9424	1.26235	0.104518
KLHDC7A	1.19226	2.20236	1.56125	11.7751	1.04305	2.0371	1.24227	0.356576	0.878289	0.0210488
IFFO2	9.10556	13.1068	28.5808	18.2359	4.46044	7.43675	10.6766	3.52639	6.92232	10.2763
UBR4	7.66918	11.4265	9.29189	17.5913	2.66343	4.34703	8.82853	13.1279	8.10946	11.7706
KIAA0090	13.8212	11.6509	8.81701	6.46239	15.2641	9.13922	13.1694	22.9666	12.1402	15.7361
MRTO4	7.23679	3.53553	5.09864	6.19905	1.0539	3.43081	10.0651	4.28739	6.65895	5.47357
AKR7A3	1.44339	2.79451	11.7458	4.9716	10.0004	18.5875	51.8487	0.720222	19.4999	0.0493558
AKR7A2	6.90355	3.10678	28.7908	17.4045	6.26967	14.6705	8.77031	17.591	5.36559	13.488
PQLC2	3.38242	1.83064	3.96078	1.7597	1.16897	3.45081	1.91113	2.538	4.51934	0.333151
CAPZB	87.2015	28.692	33.9209	17.8399	10.396	10.0428	37.5511	31.3784	21.0274	38.5648
C1orf151	5.03368	3.70678	4.77525	13.2158	4.21239	3.74316	4.71008	2.56757	2.9543	0.555978
NBL1	45.1314	12.1531	21.6336	3.45365	16.917	16.7294	16.7988	69.5677	22.2772	37.5046
TMCO4	4.79966	4.36311	4.3043	1.95884	9.38666	4.16878	6.75345	1.96056	3.14364	0.368717
RNF186	1.18601	10.7016	4.96253	48.7423	36.991	10.5064	2.53902	0.778498	2.74786	0.0660497
OTUD3	1.37792	3.23509	2.05121	10.5563	4.72155	2.85869	2.53902	1.46246	3.67164	0.248956
UBXN10	1.20472	2.38659	2.81863	4.12026	6.14057	2.0371	2.87115	1.09876	3.50583	0.0943566
CAMK2N1	8.91231	11.6924	11.5147	1.95884	10.396	4.85616	9.59876	5.96159	8.4157	4.86198
MUL1	7.68331	10.1688	6.72173	11.501	15.2205	10.4276	9.3803	20.0967	19.3913	15.2698
PINK1	12.5035	23.6421	30.3935	19.5526	16.3752	22.1974	17.6275	30.1686	19.502	25.454
DDOST	109.807	92.8628	113.213	186.465	57.0115	157.157	95.87	103.754	89.7407	84.7845
HP1BP3	24.5272	45.2457	34.5994	23.8124	37.1753	37.832	42.6673	25.1422	27.4487	23.6758
EIF4G3	7.88495	6.97492	6.56013	4.24063	11.0257	4.44335	7.48362	9.54673	6.91898	11.1556
ECE1	21.949	26.8463	49.2846	41.4696	6.63767	7.56323	35.9728	34.6681	31.7866	38.6248
ALPL	1.19226	1.70178	2.136	1.56397	1.01005	1.51387	0.600786	0.534865	0.412877	0.0116131
RAP1GAP	10.3277	27.9435	37.3562	41.7166	15.8095	22.252	42.0358	34.8575	21.2665	17.5638
USP48	5.21681	12.3408	7.55802	14.776	12.0907	9.21351	8.56905	4.6166	6.26926	4.46883
HSPG2	24.0139	11.1165	19.5646	12.0475	5.48531	3.16388	7.57105	10.7167	10.9242	20.4391
CELA3B	465.829	4224.51	4631.94	2926.89	3532.88	2979.41	1419.45	41.9951	1613.22	427.158
CELA3A	1528.64	27604.8	41974.6	27345.2	19035.6	21391.3	5966.75	555.891	6310.45	2783.27
HSPC157	5.41799	84.9976	52.5756	69.8295	73.8014	41.5486	61.7746	4.53772	8.34179	4.10975
CDC42	21.1336	9.97742	12.245	12.0067	13.6144	17.5386	16.2724	12.0887	20.5784	15.6179
WNT4	8.55864	3.55467	5.81218	2.45791	6.37025	5.69059	6.89145	81.7213	8.9505	36.9229
ZBTB40	4.46727	9.95123	6.21915	4.33934	1.24853	4.16878	3.59783	3.75366	2.42943	1.73228
C1QA	2.92629	10.8885	8.00574	5.59186	15.2205	11.2447	12.6175	6.59065	2.04606	0.295408
C1QC	11.0748	11.9481	6.88308	17.2672	35.7462	15.9805	41.0906	21.5819	2.44031	9.69612
C1QB	7.39924	12.9707	29.8512	49.5363	18.9065	13.0955	32.2592	23.0244	1.81409	0.349119
EPHB2	20.2847	2.61899	4.67305	3.99758	1.12797	3.30929	3.93046	4.84431	6.74234	8.43125
KDM1A	21.4603	26.6832	29.6592	20.4064	16.0273	21.0736	15.2946	25.5739	19.4684	23.7964
LUZP1	5.44869	3.7728	3.14412	13.6261	1.16897	2.42613	3.23948	1.9742	5.24377	0.457992
HNRNPR	24.9998	25.2401	28.7908	9.94749	4.76549	22.1427	17.2942	28.2101	22.8932	32.6517
ZNF436	5.11247	5.44863	5.79521	2.01617	1.10712	2.72054	1.65868	2.09368	4.57123	0.399201
C1orf213	1.4908	2.72264	1.19225	1.83143	12.1617	13.0955	3.34796	1.24005	1.26235	0.0587915
TCEA3	13.41	82.8218	109.599	181.366	59.2582	84.5151	59.2738	2.72709	7.5514	5.67378
ASAP3	2.98376	5.25843	7.49393	14.0731	5.90384	5.91471	4.96732	1.20334	2.00178	0.255488
ID3	23.2659	6.75604	25.0398	2.21558	8.0244	6.87752	17.5235	22.2132	16.1412	16.1282
RPL11	382.701	751.669	636.722	508.877	724.675	520.955	460.184	1230.28	461.878	742.84
TCEB3	11.4933	29.011	31.0123	27.319	4.21239	11.5031	25.2674	13.3765	16.762	16.1477
C1orf128	9.12351	22.9073	31.2969	11.8978	14.9258	25.3871	14.1446	20.9129	22.6546	14.4416
LYPLA2	6.04028	2.25701	4.4344	1.54875	1.08603	3.30929	5.7168	2.41598	2.88157	4.65464
GALE	5.32034	1.55762	1.89625	3.9769	1.57697	3.18491	1.72262	1.91075	2.86689	0.201778
HMGCL	8.63151	12.2593	8.80115	7.58202	5.85686	15.7446	14.1809	18.5336	6.78236	13.8612
FUCA1	17.8555	18.4087	19.1471	8.98533	18.5355	22.3068	16.8618	17.9906	10.5472	12.5557
PNRC2	8.22382	10.3675	9.51645	6.66785	14.6314	14.935	6.1657	3.68663	7.87877	9.96358
SRSF10	6.71295	9.46676	4.84338	1.83143	13.2981	5.96432	7.42294	2.2578	3.39918	0.509526
IL22RA1	7.47531	59.6729	66.0503	61.8482	5.16654	16.8224	58.752	1.32449	32.3011	0.293957
IL28RA	3.31363	2.91652	3.1135	6.98859	4.67771	3.74316	4.17985	1.27234	3.23149	0.254037
NIPAL3	6.59974	11.2928	10.4228	16.1722	8.87027	7.68948	5.60845	4.45391	7.46582	2.45583
RCAN3	11.1508	24.982	23.9736	7.43423	15.0567	21.2384	17.7799	25.4614	21.8682	18.2354
C1orf130	7.08285	5.08894	6.18526	14.7372	1.48079	4.15075	8.29451	1.47292	3.52785	0.346216
SRRM1	8.74056	4.19018	5.88004	12.6148	1.1588	2.67329	8.9189	3.25592	6.8057	4.91915
CLIC4	48.8171	27.3695	21.6984	19.0893	12.3917	22.6619	28.6129	23.104	23.7711	24.4777
SYF2	19.8582	30.8269	9.14959	27.923	23.5174	18.5196	39.8994	15.5426	23.9043	12.7075
C1orf63	2.52122	66.0956	30.8381	7.92114	17.6064	20.9912	9.2463	3.81547	2.64108	0.510252
TMEM50A	39.9567	32.2962	48.6317	3.1646	23.7458	39.013	44.5736	27.2994	36.7338	35.503
TMEM57	17.6569	27.3604	29.3063	43.5227	8.31819	9.01523	18.1666	7.11773	22.131	15.0272
LDLRAP1	8.43984	13.3697	26.9335	19.9986	19.0951	18.0194	12.5509	21.2402	21.2477	17.5829
MAN1C1	2.93585	2.19138	3.32636	2.16943	1.14858	2.72054	3.33895	5.91146	2.85708	4.54615
SEPN1	18.7552	10.108	8.91211	17.6784	8.90264	3.9682	16.9247	6.93663	10.3689	10.6166
FAM54B	9.76526	12.5842	32.2247	3.08795	11.4448	16.5197	14.1446	19.2198	12.2959	14.5947
STMN1	11.4933	22.6044	28.5322	3.70058	16.0382	13.4755	27.0952	17.372	6.0456	6.63149
PAFAH2	4.83184	4.39929	4.34677	7.92114	8.35078	6.85199	5.77434	3.48809	2.23856	2.25617
SLC30A2	1.99454	28.3006	52.8013	36.6026	30.3516	29.1173	41.8048	0.928881	8.46056	0.150971
PDIK1L	3.15751	6.08969	4.94551	4.57036	8.48094	5.06042	3.39291	1.57733	5.26388	0.387588
ZNF593	7.64562	1.65419	5.94789	1.89751	0	4.25836	6.20796	2.74724	7.64992	0.55743
CCDC21	2.32784	2.54572	3.96078	12.2644	1.03213	3.72408	3.03826	1.87476	3.47488	0.362184
SH3BGRL3	137.901	16.6626	52.4255	10.4155	20.5889	24.3221	55.0613	77.4323	46.6163	116.694
DHDDS	6.3314	4.6847	7.49393	2.01617	2.66343	8.54245	6.28552	6.03414	7.50864	13.5867
HMGN2	4.54444	3.17606	6.99586	5.49422	3.91425	2.55217	4.74056	1.45546	3.19003	0.367266
RPS6KA1	5.87206	4.79132	8.21304	12.2779	1.43599	5.69059	5.06462	4.66934	7.38667	5.52092
ARID1A	8.74056	5.90106	9.99109	6.5764	1.57697	2.26696	7.01502	5.36657	6.88235	5.95425
PIGV	5.56578	4.29052	6.75402	3.43045	6.70435	8.46757	8.22224	3.07622	2.96393	0.448556
ZDHHC18	6.08944	4.51373	3.25073	1.50249	1.10712	3.01396	5.91036	4.54822	7.67287	6.20412
SFN	7.73504	1.11153	1.19995	0	0	0	0.333171	1.50065	2.58926	10.1317
GPN2	5.42312	5.14196	11.8914	2.98218	1.1588	2.21161	5.66631	5.17138	6.38892	2.72602
GPATCH3	3.17693	3.74454	2.06824	1.53343	11.0257	1.67032	4.32441	2.58734	6.91566	0.74303
NR0B2	4.89061	21.3642	23.4612	36.8533	14.6858	21.3481	9.62244	0.98565	4.97077	0.353475
NUDC	25.7904	8.53689	11.7749	34.3409	4.85376	7.5885	14.1157	17.3575	20.583	16.1789
C1orf172	6.90842	6.18384	10.2869	4.82595	9.46415	6.2361	11.533	9.70745	7.61711	4.81005
TRNP1	9.5002	10.897	13.1224	3.72237	17.703	7.81551	16.3639	24.7351	9.25862	18.2165
FAM46B	1.28694	1.81904	6.0666	0	1.01005	3.64721	1.9421	1.22082	0.176948	0.0181455
SLC9A1	5.76228	1.55762	3.0828	4.14048	1.02113	1.55431	1.77547	1.62419	3.88902	0.328797
